,Diagnosis,Vs_Norm_Diagnosis,Region_Column,ROI_Name,Diagnosis_Mean,Diagnosis_Std,Norm_Mean,Norm_Std,Mean_Difference,Cliffs_Delta,Cliffs_Delta_CI_Low,Cliffs_Delta_CI_High,Significant_Bootstrap_p05_uncorrected,Cohens_d,P_Value_Uncorrected,Abs_Cliffs_Delta,Abs_Cohens_d
79,MDD,HC,region_79_z_score,[N] Right CO central operculum (Vgm),1.0559241841793998,1.7234759687061867,0.9020920978654826,1.2324828758948445,0.1538320863139172,-0.01569618238605845,-0.09808290395952282,0.06598762607675016,False,0.10709486697350026,0.7275,0.01569618238605845,0.10709486697350026
80,MDD,HC,region_80_z_score,[N] Right Calc calcarine cortex (Vgm),0.9993782462187848,1.2003976648135601,0.9877413010383134,1.5401777834566814,0.011636945180471425,0.09799006637887017,0.017619246556720446,0.1822600645884311,True,0.00818175351047256,0.4925,0.09799006637887017,0.00818175351047256
81,MDD,HC,region_81_z_score,[N] Right Caudate (Vgm),0.9154000553913956,1.3618895697553908,1.0051564356873097,1.433660834034468,-0.08975638029591415,-0.03273850969158029,-0.11047008972089044,0.04806997301078905,False,-0.0637847735189492,0.555,0.03273850969158029,0.0637847735189492
82,MDD,HC,region_82_z_score,[N] Right Cerebellum Exterior (Vgm),1.1076913765362761,1.9629504112432656,0.9690868885139879,1.4842828779402122,0.1386044880222882,0.0211868621560865,-0.05751288121431555,0.10340117107976737,False,0.08251034344989527,0.65875,0.0211868621560865,0.08251034344989527
83,MDD,HC,region_83_z_score,[N] Right Cerebellum White Matter (Vgm),1.2120585943805877,1.6116030791810683,0.9501759617580889,1.3975762311510056,0.2618826326224988,0.07245973169939192,-0.01789775929867839,0.15878541919483294,False,0.17677283576894354,0.5075,0.07245973169939192,0.17677283576894354
84,MDD,HC,region_84_z_score,[N] Right Cerebral White Matter (Vgm),1.1364911666929305,1.586447608409046,0.9039109229616054,1.2323854138543315,0.23258024373132513,0.06826877805850094,-0.011200190980165914,0.14809583490825656,False,0.16904135596509498,0.51875,0.06826877805850094,0.16904135596509498
85,MDD,HC,region_85_z_score,[N] Right Cun cuneus (Vgm),0.9447409570710663,1.285629339950329,1.0229407285597676,1.4593081539037818,-0.07819977148870128,-0.0364122253831208,-0.12054959847746367,0.04166417994575633,False,-0.055988482334334996,0.5375,0.0364122253831208,0.055988482334334996
86,MDD,HC,region_86_z_score,[N] Right Ent entorhinal area (Vgm),1.5130226988241469,2.2954155437256167,1.042685872776296,1.6030486935684833,0.4703368260478509,0.14802952235064754,0.06966134176829065,0.22679557827865862,True,0.24851296402032982,0.49375,0.14802952235064754,0.24851296402032982
87,MDD,HC,region_87_z_score,[N] Right FO frontal operculum (Vgm),1.2488008390095406,1.7359723574749526,0.8767300184137751,1.250243018384314,0.3720708205957656,0.08606706852076577,-1.9893767282710327e-05,0.17536355859709152,False,0.25632383297503103,0.52625,0.08606706852076577,0.25632383297503103
88,MDD,HC,region_88_z_score,[N] Right FRP frontal pole (Vgm),1.176689185696426,1.4943980627713132,0.818713504263461,1.1653387898328706,0.3579756814329651,0.14836108513869273,0.06958176669915982,0.23759126265740943,True,0.2756744904481651,0.47625,0.14836108513869273,0.2756744904481651
